ID;SeriousDlqin2yrs
4;0
8;0
23;0
32;0
34;0
39;0
41;0
43;0
46;0
47;0
50;0
58;0
71;0
72;0
73;0
74;0
83;0
84;0
89;0
95;0
98;0
100;0
103;0
106;0
111;0
112;0
113;0
115;0
117;0
118;0
120;0
124;0
126;0
127;0
131;0
137;0
145;0
151;0
152;0
154;0
155;0
163;0
165;0
168;0
169;0
176;0
184;0
186;0
194;0
196;0
198;0
201;0
203;0
211;0
215;0
221;0
225;0
240;0
247;0
250;0
253;0
254;0
256;0
261;0
268;0
272;0
274;0
284;0
285;0
288;0
291;0
297;0
298;0
300;0
301;0
305;0
307;0
310;0
317;0
324;0
328;0
339;0
340;0
344;0
349;0
357;0
363;0
370;0
373;0
374;0
377;0
379;0
380;0
382;0
384;0
385;0
389;0
392;0
396;0
399;0
403;0
408;0
410;0
413;0
414;0
416;0
420;0
427;0
429;0
431;0
443;0
449;0
456;0
460;0
467;0
471;0
476;0
478;0
479;0
483;0
489;0
491;0
496;0
497;0
504;0
508;0
509;0
515;0
517;0
520;0
524;0
528;0
529;0
534;0
537;0
538;0
542;0
544;0
547;0
552;0
556;0
565;0
568;0
573;0
574;0
577;0
581;0
583;0
585;0
586;0
594;0
595;0
599;0
600;0
607;0
611;0
614;0
620;0
622;0
626;0
632;0
633;0
634;0
636;0
638;0
639;0
643;0
648;0
652;0
654;0
657;0
661;0
663;0
664;0
667;0
669;0
670;0
671;0
684;0
690;0
695;0
697;0
707;0
709;0
710;0
711;0
712;0
714;0
721;0
730;0
731;0
732;0
736;0
738;0
739;0
740;0
742;0
744;0
746;0
747;0
749;0
750;0
756;0
762;0
766;0
769;0
771;0
772;0
773;0
775;0
776;0
783;0
784;0
787;0
788;0
789;0
793;0
795;0
801;0
804;0
810;0
811;0
812;0
816;0
818;0
819;0
820;0
821;0
823;0
825;0
830;0
831;0
833;0
841;0
843;0
844;0
846;0
849;0
857;0
863;0
878;0
882;0
883;0
886;0
895;0
897;0
901;0
902;0
922;0
927;0
929;0
933;0
935;0
938;0
940;0
942;0
944;0
945;0
948;0
956;0
958;0
960;0
961;0
972;0
973;0
977;0
979;0
980;0
981;0
987;0
989;0
992;0
993;0
994;0
995;0
1009;0
1010;0
1013;0
1015;0
1017;0
1033;0
1060;0
1068;0
1072;0
1073;0
1077;0
1082;0
1093;0
1095;0
1097;0
1099;0
1105;0
1107;0
1119;0
1120;0
1123;0
1129;0
1135;0
1137;0
1139;0
1141;0
1143;0
1148;0
1157;0
1159;0
1161;0
1162;0
1165;0
1171;0
1176;0
1177;0
1178;0
1181;0
1192;0
1200;0
1205;0
1213;0
1215;0
1218;0
1220;0
1222;0
1224;0
1231;0
1236;0
1243;0
1246;0
1247;0
1249;0
1251;0
1252;0
1255;0
1260;0
1262;0
1267;0
1268;0
1273;0
1277;0
1282;0
1284;0
1290;0
1298;0
1302;0
1304;0
1308;0
1312;0
1320;0
1321;0
1322;0
1324;0
1327;0
1328;0
1329;0
1330;0
1333;0
1335;0
1346;0
1349;0
1350;0
1362;0
1366;0
1368;0
1373;0
1374;0
1377;0
1378;0
1381;0
1383;0
1394;0
1395;0
1396;0
1401;0
1408;0
1413;0
1418;0
1422;0
1423;0
1424;0
1428;0
1429;0
1431;0
1436;0
1440;0
1445;0
1446;0
1448;0
1449;0
1452;0
1453;0
1456;0
1461;0
1462;0
1464;0
1465;0
1468;0
1473;0
1474;0
1479;0
1486;0
1487;0
1488;0
1490;0
1491;0
1495;0
1508;0
1510;0
1517;0
1520;0
1526;0
1534;0
1551;0
1552;0
1555;0
1561;0
1564;0
1566;0
1573;0
1580;0
1588;0
1590;0
1593;0
1595;0
1596;0
1603;0
1607;0
1612;0
1615;0
1622;0
1623;0
1624;0
1626;0
1634;0
1644;0
1646;0
1648;0
1650;0
1652;0
1654;0
1658;0
1662;0
1666;0
1671;0
1679;0
1681;0
1683;0
1693;0
1694;0
1695;0
1708;0
1711;0
1715;0
1718;0
1721;0
1723;0
1728;0
1731;0
1736;0
