ID,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
4,0.233809776,30,0,0.036049682,3300,5,0,0,0,0
8,0.754463648,39,0,0.209940017,3500,8,0,0,0,0
23,0.9999999,39,0,0.241103559,2500,4,0,0,0,0
32,0.9999999,24,0,0.472703063,750,1,0,0,0,0
34,0.186868556,57,0,0.313812313,7000,9,0,2,0,0
39,0.363636364,26,0,0.00999001,1000,1,0,0,0,0
41,0.71998531,41,1,0.539554464,5700,14,0,1,0,0
43,0.469056842,31,0,0.048211004,9250,4,0,0,0,1
46,6.02723e-4,70,0,0.177787036,16800,12,0,1,0,2
47,0.061440132,62,0,0.011167837,3133,2,0,0,0,0
50,7.96e-5,70,0,0.256339661,6900,21,1,1,0,0
58,0.401199782,64,0,0.351258937,3216,4,0,1,0,0
71,0.265898391,36,0,0.262611807,8384,6,0,2,0,1
72,0.142013011,67,0,1824,NA,7,0,2,0,0
73,0.827708197,56,0,0.369590815,6793,15,1,1,0,0
74,0.059668871,31,0,3162,0,11,0,2,0,1
83,0.017258977000000002,53,0,2.604510673,12414,13,0,1,0,2
84,0.054497069,56,0,0.492021814,4950,18,0,2,0,0
89,0.734477501,45,0,0.591477634,4716,13,0,2,0,2
95,0.791173628,44,0,0.51241535,3100,5,0,1,0,0
98,0.010531379,57,0,0.280664917,5714,6,0,1,0,0
100,0.032617977,75,0,0.006799093,7500,4,0,0,0,0
103,0.634485057,52,0,0.138238573,2690,2,0,0,0,0
106,0.114830941,46,0,0.026235802,6250,6,0,0,0,3
111,0.096737158,47,0,0.009748781,8000,2,0,0,0,2
112,0.31844615,58,0,1.382629108,3833,26,0,4,0,0
113,0.186987534,52,0,0.023993145,3500,4,0,0,0,0
115,0.180972181,39,1,0.384441575,3097,7,0,1,0,3
117,0.06790706,46,0,0.149103029,10200,6,0,2,0,0
118,0.033461782,44,0,1.243362832,4067,5,0,2,0,1
120,0.015271802,68,0,0.12290366,8168,6,0,0,0,0
124,0.444837661,58,0,0.366545247,14000,9,0,2,1,4
126,0.003722015,58,0,0.63332301,3228,5,0,1,0,0
127,0,61,0,0.2226598,3300,14,0,1,0,0
131,0.175727593,43,1,994,NA,4,0,1,0,0
137,0.089478348,56,0,1.065901518,2700,11,0,1,0,2
